observation_date,SFXRSA
2006-06-01,216.55
2006-07-01,214.96
2006-08-01,214.32
2006-09-01,213.55
2006-10-01,213.36
2006-11-01,213.26
2006-12-01,213.17
2007-01-01,214.64
2007-02-01,214.90
2007-03-01,215.36
2007-04-01,213.47
2007-05-01,210.79
2007-06-01,207.97
2007-07-01,205.54
2007-08-01,204.52
2007-09-01,203.11
2007-10-01,199.64
2007-11-01,194.68
2007-12-01,190.00
2008-01-01,186.64
2008-02-01,178.88
2008-03-01,172.66
2008-04-01,166.67
2008-05-01,162.57
2008-06-01,158.50
2008-07-01,154.08
2008-08-01,148.16
2008-09-01,142.83
2008-10-01,137.57
2008-11-01,134.66
2008-12-01,130.62
2009-01-01,126.66
2009-02-01,123.99
2009-03-01,121.22
2009-04-01,120.12
2009-05-01,119.87
2009-06-01,123.33
2009-07-01,126.12
2009-08-01,129.23
2009-09-01,131.55
2009-10-01,134.00
2009-11-01,136.07
2009-12-01,136.99
2010-01-01,138.50
2010-02-01,139.37
2010-03-01,141.18
2010-04-01,141.69
2010-05-01,141.39
2010-06-01,140.50
2010-07-01,139.78
2010-08-01,139.13
2010-09-01,138.85
2010-10-01,137.19
2010-11-01,136.94
2010-12-01,136.81
2011-01-01,136.58
2011-02-01,134.90
2011-03-01,134.06
2011-04-01,133.53
2011-05-01,133.20
2011-06-01,132.46
2011-07-01,131.77
2011-08-01,131.77
2011-09-01,130.91
2011-10-01,131.07
2011-11-01,129.76
2011-12-01,129.75
2012-01-01,128.73
2012-02-01,129.52
2012-03-01,129.81
2012-04-01,131.27
2012-05-01,133.54
2012-06-01,136.09
2012-07-01,137.95
2012-08-01,139.02
2012-09-01,140.97
2012-10-01,143.09
2012-11-01,146.59
2012-12-01,148.70
2013-01-01,151.46
2013-02-01,153.95
2013-03-01,158.33
2013-04-01,162.22
2013-05-01,165.77
2013-06-01,168.98
2013-07-01,172.15
2013-08-01,174.79
2013-09-01,177.54
2013-10-01,178.59
2013-11-01,180.96
2013-12-01,182.59
2014-01-01,186.54
2014-02-01,188.72
2014-03-01,191.61
2014-04-01,191.63
2014-05-01,191.30
2014-06-01,191.13
2014-07-01,190.33
2014-08-01,190.87
2014-09-01,192.35
2014-10-01,195.52
2014-11-01,197.71
2014-12-01,199.83
2015-01-01,201.18
2015-02-01,207.64
2015-03-01,211.53
2015-04-01,211.05
2015-05-01,209.72
2015-06-01,209.29
2015-07-01,209.92
2015-08-01,211.32
2015-09-01,213.96
2015-10-01,217.03
2015-11-01,219.64
